ticker,pool_id_bech32,epoch,stake_address,lovelace
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1uxer534zhvj5r7ed7yec4fezszwmj8965xzck34fjurrl9ckl967d,1062065707
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1u9cvu3njgzc0evsst69xlh6wej823xhk4snzxmt37zrug6s39nduf,1009525699
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1uylfka0a84jcfyfdczq6fd6fan0eq0cqdyfj3272zv5u25qca075x,238855381
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1u8y3807dejlyhrpdwjs2pu2cgwgsa2ths2q3n5eu6q4n87qp2y0wm,207825699
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1u8nq427p2gjaakw8qdvp4r34srm33ygnqyyd6x5h3qmrnlsuppeej,162711771
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1u8uv2se0rzyhpprlxghzc7zgdgralxty0s43zyug2s26d8gqul9jq,103277667
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1u99xp7vlxx5n4rfuhvfcrnxjt279629w8vddtkhuyh4nzngxcdjxr,52679744
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1uy26zzttq2njgjzk9wjktdpude0qsnlt9pq2cfp2q763n9s06y4hf,21325743
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,339,stake1uxtwv4nkdhqc28zhee36tmg4munurn7na5ayarmdxnqk3esl9anvj,20718653
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1uxer534zhvj5r7ed7yec4fezszwmj8965xzck34fjurrl9ckl967d,1062065707
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1u9cvu3njgzc0evsst69xlh6wej823xhk4snzxmt37zrug6s39nduf,1009525699
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1u9sdx4x880gsq008ldd7gp2kst8ukn68ka3lkjk2t694tysawyfl8,577636168
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1uylfka0a84jcfyfdczq6fd6fan0eq0cqdyfj3272zv5u25qca075x,238855381
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1u8y3807dejlyhrpdwjs2pu2cgwgsa2ths2q3n5eu6q4n87qp2y0wm,207825699
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1u8nq427p2gjaakw8qdvp4r34srm33ygnqyyd6x5h3qmrnlsuppeej,162711771
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1u8uv2se0rzyhpprlxghzc7zgdgralxty0s43zyug2s26d8gqul9jq,103277667
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1uxtwv4nkdhqc28zhee36tmg4munurn7na5ayarmdxnqk3esl9anvj,75168436
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1u99xp7vlxx5n4rfuhvfcrnxjt279629w8vddtkhuyh4nzngxcdjxr,52679744
PET♥,pool1mrxg6svcug7mc459ce5zum4qd6p0hkfc08jzpphxfnxzz8yf7ll,340,stake1uy26zzttq2njgjzk9wjktdpude0qsnlt9pq2cfp2q763n9s06y4hf,21325743
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uyccu9r3d2jvk925mpkqvl5kmycau3wxtxj05muhqgkm80g56lsy2,1184080738273
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u9lkv6u3urnsm3csz0c7yh0eug9hgw20s2kw55lmgsst5xcw9ermf,100215978431
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8hvce02zg7wm6mvr6ulttlcpmudhmelsgn8qgkuryuny5cfnrfsw,46039786229
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u9he2jwfle45j790w0u5urtvy76ulqvhslvpe855q20kh0sulhq9x,45609298586
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u95hc8rp3drsnys54r7tzkugkmt2j4s2ke32atdgj0ewtvge33c2m,40210035291
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u9q64f7nuyxssdzs0a60fchvjpfwuy3qtn7u2vslznvctsc56schy,39904094790
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uxyfva2400ehsel2pcfjsjjjyd8ldtm45rs32pqa398qjzqgrv8c6,29018755192
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u9wl7nelz442w7kkd09xvtx09h3w0arvuucj3tlfqrwa9cctutgh5,28370971494
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u82l9u5423mw6ecqfrsycnsf4c8yhfy8s8e2ut3lpvhd7wg22wj3s,20460865544
